NAME,CURRENCYISOCODE,PSE__START_DATE__C,PSE__END_DATE__C,PSE__TYPE__C
All Time Periods,USD,1/1/2000,12/31/2020,Perpetual
FY2009,USD,1/1/2009,12/31/2009,Year
FY2010,USD,1/1/2010,12/31/2010,Year
FY2011,USD,1/1/2011,12/31/2011,Year
FY2012,USD,1/1/2012,12/31/2012,Year
FY2013,USD,1/1/2013,12/31/2013,Year
FY2014,USD,1/1/2014,12/31/2014,Year
FY2015,USD,1/1/2015,12/31/2015,Year
Jan FY2009,USD,1/1/2009,1/31/2009,Month
Feb FY2009,USD,2/1/2009,2/28/2009,Month
Mar FY2009,USD,3/1/2009,3/31/2009,Month
Apr FY2009,USD,4/1/2009,4/30/2009,Month
May FY2009,USD,5/1/2009,5/31/2009,Month
Jun FY2009,USD,6/1/2009,6/30/2009,Month
Jul FY2009,USD,7/1/2009,7/31/2009,Month
Aug FY2009,USD,8/1/2009,8/31/2009,Month
Sep FY2009,USD,9/1/2009,9/30/2009,Month
Oct FY2009,USD,10/1/2009,10/31/2009,Month
Nov FY2009,USD,11/1/2009,11/30/2009,Month
Dec FY2009,USD,12/1/2009,12/31/2009,Month
Jan FY2010,USD,1/1/2010,1/31/2010,Month
Feb FY2010,USD,2/1/2010,2/28/2010,Month
Mar FY2010,USD,3/1/2010,3/31/2010,Month
Apr FY2010,USD,4/1/2010,4/30/2010,Month
May FY2010,USD,5/1/2010,5/31/2010,Month
Jun FY2010,USD,6/1/2010,6/30/2010,Month
Jul FY2010,USD,7/1/2010,7/31/2010,Month
Aug FY2010,USD,8/1/2010,8/31/2010,Month
Sep FY2010,USD,9/1/2010,9/30/2010,Month
Oct FY2010,USD,10/1/2010,10/31/2010,Month
Nov FY2010,USD,11/1/2010,11/30/2010,Month
Dec FY2010,USD,12/1/2010,12/31/2010,Month
Jan FY2011,USD,1/1/2011,1/31/2011,Month
Feb FY2011,USD,2/1/2011,2/28/2011,Month
Mar FY2011,USD,3/1/2011,3/31/2011,Month
Apr FY2011,USD,4/1/2011,4/30/2011,Month
May FY2011,USD,5/1/2011,5/31/2011,Month
Jun FY2011,USD,6/1/2011,6/30/2011,Month
Jul FY2011,USD,7/1/2011,7/31/2011,Month
Aug FY2011,USD,8/1/2011,8/31/2011,Month
Sep FY2011,USD,9/1/2011,9/30/2011,Month
Oct FY2011,USD,10/1/2011,10/31/2011,Month
Nov FY2011,USD,11/1/2011,11/30/2011,Month
Dec FY2011,USD,12/1/2011,12/31/2011,Month
Jan FY2012,USD,1/1/2012,1/31/2012,Month
Feb FY2012,USD,2/1/2012,2/29/2012,Month
Mar FY2012,USD,3/1/2012,3/31/2012,Month
Apr FY2012,USD,4/1/2012,4/30/2012,Month
May FY2012,USD,5/1/2012,5/31/2012,Month
Jun FY2012,USD,6/1/2012,6/30/2012,Month
Jul FY2012,USD,7/1/2012,7/31/2012,Month
Aug FY2012,USD,8/1/2012,8/31/2012,Month
Sep FY2012,USD,9/1/2012,9/30/2012,Month
